"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10345","TC-029 Transfer Money and Validate","chromium","2026-06-13","passed","2026-06-13","Transfer Fund E2E Validation","e2e\TransferFund.e2e.spec.ts","",""
"","18522","TC-029 Transfer Money and Validate","firefox","2026-06-13","failed","2026-06-13","Transfer Fund E2E Validation","e2e\TransferFund.e2e.spec.ts","",""
"","894","Validate Transactions","firefox","2026-06-13","failed","2026-06-13","","API\transactionValidation.spec.ts","",""
"","348","Create New Account API","chromium","2026-06-13","passed","2026-06-13","","API\accountCreation.spec.ts","",""
"","12955","TC-029 Transfer Money and Validate","webkit","2026-06-13","failed","2026-06-13","Transfer Fund E2E Validation","e2e\TransferFund.e2e.spec.ts","",""
"","384","Get Accounts List","webkit","2026-06-13","failed","2026-06-13","","API\accountList.spec.ts","",""
"","11908","Login Open Savings Account Verify Overview","chromium","2026-06-13","passed","2026-06-13","","UI\OpeningAccount.spec.ts","",""
"","1353","Get Accounts List","firefox","2026-06-13","failed","2026-06-13","","API\accountList.spec.ts","",""
"","14578","TC-026 Open Savings Account and Validate via API","chromium","2026-06-13","passed","2026-06-13","Open Account E2E Validation","e2e\OpeningAccount.e2e.spec.ts","",""
"","918","Create New Account API","webkit","2026-06-13","failed","2026-06-13","","API\accountCreation.spec.ts","",""
"","341","Validate Transactions","chromium","2026-06-13","passed","2026-06-13","","API\transactionValidation.spec.ts","",""
"","4878","Register Customer","chromium","2026-06-13","passed","2026-06-13","","UI\RegisterAccount.spec.ts","",""
"","1215","Create New Account API","firefox","2026-06-13","failed","2026-06-13","","API\accountCreation.spec.ts","",""
"","471","Validate Account Details","webkit","2026-06-13","passed","2026-06-13","","API\accountDetailValidation.spec.ts","",""
"","13074","Transfer Funds","firefox","2026-06-13","passed","2026-06-13","","UI\transferFund.spec.ts","",""
"","335","Validate Account Details","chromium","2026-06-13","passed","2026-06-13","","API\accountDetailValidation.spec.ts","",""
"","1119","Validate Account Exists","webkit","2026-06-13","passed","2026-06-13","","API\accountCreated.spec.ts","",""
"","1689","Validate Account Details","firefox","2026-06-13","failed","2026-06-13","","API\accountDetailValidation.spec.ts","",""
"","1333","Validate Account Exists","firefox","2026-06-13","failed","2026-06-13","","API\accountCreated.spec.ts","",""
"","1085","Validate Transactions","webkit","2026-06-13","passed","2026-06-13","","API\transactionValidation.spec.ts","",""
"","18323","TC-026 Open Savings Account and Validate via API","webkit","2026-06-13","passed","2026-06-13","Open Account E2E Validation","e2e\OpeningAccount.e2e.spec.ts","",""
"","26004","Login Open Savings Account Verify Overview","firefox","2026-06-13","passed","2026-06-13","","UI\OpeningAccount.spec.ts","",""
"","12050","Transfer Funds","webkit","2026-06-13","passed","2026-06-13","","UI\transferFund.spec.ts","",""
"","19623","Register Customer","webkit","2026-06-13","failed","2026-06-13","","UI\RegisterAccount.spec.ts","",""
"","24946","Register Customer","firefox","2026-06-13","failed","2026-06-13","","UI\RegisterAccount.spec.ts","",""
"","15490","Login Open Savings Account Verify Overview","webkit","2026-06-13","passed","2026-06-13","","UI\OpeningAccount.spec.ts","",""
"","11272","Transfer Funds","chromium","2026-06-13","passed","2026-06-13","","UI\transferFund.spec.ts","",""
"","832","Validate Account Exists","chromium","2026-06-13","passed","2026-06-13","","API\accountCreated.spec.ts","",""
"","342","Get Accounts List","chromium","2026-06-13","passed","2026-06-13","","API\accountList.spec.ts","",""
"","22535","TC-026 Open Savings Account and Validate via API","firefox","2026-06-13","passed","2026-06-13","Open Account E2E Validation","e2e\OpeningAccount.e2e.spec.ts","",""
